Decimal,Hex,Alpha Tag,Mode,Description,Tag,Category,Priority
101,065,01 DISP,D,Fire Dispatch,Fire Dispatch,DCFD,1
102,066,02 MAIN,D,Main Operations,Fire Dispatch,DCFD,1
700,2bc,03 INC 10,D,Incident 10,Fire-Tac,DCFD,1
701,2bd,05 INC 11,D,Incident 11,Fire-Tac,DCFD,1
702,2be,06 INC 12,D,Incident 12,Fire-Tac,DCFD,1
703,2bf,07 INC 20,D,Incident 20,Fire-Tac,DCFD,1
704,2c0,09 INC 21,D,Incident 21,Fire-Tac,DCFD,1
705,2c1,010 INC 22,D,Incident 22,Fire-Tac,DCFD,1
710,2c6,0A3 INC 30,D,Incident 30,Fire-Tac,DCFD,1
711,2c7,0A5 INC 31,D,Incident 31,Fire-Tac,DCFD,1
712,2c8,0A6 INC 32,D,Incident 32,Fire-Tac,DCFD,1
713,2c9,0A7 INC 40,D,Incident 40,Fire-Tac,DCFD,1
714,2ca,0A9 INC 41,D,Incident 41,Fire-Tac,DCFD,1
715,2cb,0A10 INC 42,D,Incident 42,Fire-Tac,DCFD,1
